Año;Periodo;Agua embalsada
2005;Semana 51;24.265
2005;Semana 52;24.142
2006;Semana 1;24.364
2006;Semana 2;24.947
2006;Semana 3;25.129
2006;Semana 4;25.251
2006;Semana 5;25.370
2006;Semana 6;25.451
2006;Semana 7;25.548
2006;Semana 8;25.935
2006;Semana 9;26.322
2006;Semana 10;26.999
2006;Semana 11;27.948
2006;Semana 12;28.661
2006;Semana 13;30.284
2006;Semana 14;30.889
2006;Semana 15;30.990
2006;Semana 16;31.208
2006;Semana 17;31.391
2006;Semana 18;31.663
2006;Semana 19;31.559
2006;Semana 20;31.352
2006;Semana 21;31.012
2006;Semana 22;30.572
2006;Semana 23;30.103
2006;Semana 24;29.467
2006;Semana 25;28.985
2006;Semana 26;28.448
2006;Semana 27;27.925
2006;Semana 28;27.273
2006;Semana 29;26.462
2006;Semana 30;25.777
2006;Semana 31;24.901
2006;Semana 32;24.100
2006;Semana 33;23.362
2006;Semana 34;22.761
2006;Semana 35;22.170
2006;Semana 36;21.624
2006;Semana 37;21.049
2006;Semana 38;20.826
2006;Semana 39;20.860
2006;Semana 40;20.983
2006;Semana 41;20.955
2006;Semana 42;20.915
2006;Semana 43;21.765
2006;Semana 44;24.326
2006;Semana 45;25.276
2006;Semana 46;25.828
2006;Semana 47;26.641
2006;Semana 48;28.497
2006;Semana 49;29.623
2006;Semana 50;30.854
2006;Semana 51;30.968
2006;Semana 52;30.391
2007;Semana 1;30.089
2007;Semana 2;29.826
2007;Semana 3;29.735
2007;Semana 4;29.742
2007;Semana 5;29.819
2007;Semana 6;30.008
2007;Semana 7;30.871
2007;Semana 8;32.295
2007;Semana 9;32.846
2007;Semana 10;32.946
2007;Semana 11;32.881
2007;Semana 12;32.576
2007;Semana 13;32.333
2007;Semana 14;32.693
2007;Semana 15;33.027
2007;Semana 16;33.692
2007;Semana 17;33.936
2007;Semana 18;34.298
2007;Semana 19;34.852
2007;Semana 20;35.076
2007;Semana 21;35.031
2007;Semana 22;35.394
2007;Semana 23;35.395
2007;Semana 24;35.132
2007;Semana 25;35.013
2007;Semana 26;34.949
2007;Semana 27;34.374
2007;Semana 28;33.525
2007;Semana 29;32.539
2007;Semana 30;31.629
2007;Semana 31;30.676
2007;Semana 32;29.468
2007;Semana 33;28.586
2007;Semana 34;27.741
2007;Semana 35;27.060
2007;Semana 36;26.491
2007;Semana 37;25.839
2007;Semana 38;25.300
2007;Semana 39;24.885
2007;Semana 40;24.571
2007;Semana 41;24.641
2007;Semana 42;24.388
2007;Semana 43;23.847
2007;Semana 44;23.452
2007;Semana 45;23.113
2007;Semana 46;22.809
2007;Semana 47;22.562
2007;Semana 48;22.831
2007;Semana 49;22.693
2007;Semana 50;22.653
2007;Semana 51;22.481
2007;Semana 52;22.473
2008;Semana 1;22.466
2008;Semana 2;22.672
2008;Semana 3;22.975
